Date,Open,High,Low,Close,Adj Close,Volume
2022-09-30,41200.000000,41825.000000,40825.000000,41425.000000,28606.552734,2546700
2022-10-03,41500.000000,42150.000000,41475.000000,42150.000000,29107.212891,1531800
2022-10-04,42225.000000,44175.000000,42225.000000,44150.000000,30488.337891,5310500
2022-10-05,44250.000000,44400.000000,43600.000000,43600.000000,30108.525391,1903000
2022-10-06,43600.000000,44250.000000,43300.000000,43300.000000,29901.357422,1522600
2022-10-07,43325.000000,44050.000000,43100.000000,43800.000000,30246.640625,1810700
2022-10-10,42950.000000,42950.000000,41900.000000,41900.000000,28934.570313,3768300
2022-10-11,42200.000000,42500.000000,41600.000000,41700.000000,28796.458984,2429800
2022-10-12,42200.000000,42425.000000,41750.000000,42075.000000,29055.417969,2321700
2022-10-13,42775.000000,43200.000000,42450.000000,42500.000000,29348.908203,2434700
2022-10-14,42750.000000,42875.000000,42125.000000,42125.000000,29089.947266,1448700
2022-10-17,42150.000000,42800.000000,42000.000000,42450.000000,29314.378906,1701300
2022-10-18,42700.000000,42825.000000,41675.000000,41900.000000,28934.570313,2349200
2022-10-19,41900.000000,42200.000000,41600.000000,41900.000000,28934.570313,2439600
2022-10-20,41925.000000,43925.000000,41925.000000,43450.000000,30004.943359,8048300
2022-10-21,43550.000000,43875.000000,43300.000000,43675.000000,30160.322266,1903100
2022-10-24,43800.000000,44325.000000,43600.000000,44150.000000,30488.337891,2189400
2022-10-25,44150.000000,44275.000000,43000.000000,43750.000000,30212.111328,2557800
2022-10-26,43800.000000,45425.000000,43525.000000,45350.000000,31317.013672,4555800
2022-10-27,45350.000000,45650.000000,44775.000000,44800.000000,30937.203125,2237800
2022-10-28,44750.000000,44975.000000,44325.000000,44525.000000,30747.298828,1619400
2022-10-31,44650.000000,45275.000000,44650.000000,45050.000000,31109.841797,2254600
2022-11-01,44375.000000,44375.000000,42100.000000,42300.000000,29210.794922,6919800
